shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
p_1303747,-122.3272382912,37.7970940471,9,3088.21658114
p_1303747,-122.3314217718,37.7979913107,10,3469.89173394
p_1303747,-122.3337824502,37.7982038189,11,3679.13674894
p_1303747,-122.3352765504,37.7977079655,12,3821.77204263
p_1303747,-122.3386691574,37.7958661949,13,4183.80937467
p_1303747,-122.3431676025,37.7895040616,14,4993.52333206
p_1303747,-122.3478669537,37.7800089244,15,6125.79640703
p_1303747,-122.3509327316,37.7693557297,16,7338.67450165
p_1303747,-122.351777787,37.7494748349,17,9546.54946258
p_1303747,-122.3507984079,37.7344838853,18,11212.65663073
p_1303747,-122.3495478864,37.7210924304,19,12703.07471851
p_1303747,-122.3528824093,37.6953911077,20,15570.80324054
p_1303747,-122.3565334775,37.6800255374,21,17306.37562657
p_1303747,-122.3573922303,37.6774318537,22,17604.05019260
p_1303747,-122.3612600213,37.6689288077,23,18607.59670086
p_1303747,-122.3633734813,37.6658736614,24,18994.57515060
p_1303747,-122.365058307,37.6644321875,25,19212.96526804
p_1303747,-122.37724,37.664,26,20288.84336728
p_1303747,-122.3772606764,37.662758738,27,20426.62326264
p_1303753,-122.3907559433,37.7943716899,1,0.00000000
p_1303753,-122.3903821998,37.7946421192,2,44.54824892
p_1303753,-122.3903101529,37.7954107022,3,130.09096392
p_1303753,-122.3896662335,37.7956064049,4,190.82210498
p_1303753,-122.3870078119,37.7967604986,5,457.71218534
p_1303753,-122.3864539511,37.7969241743,6,509.76604052
p_1303753,-122.3856884525,37.7969739886,7,577.41296227
p_1303753,-122.3854452941,37.7969561978,8,598.91975270
p_1303753,-122.3822069777,37.7966608698,9,886.00950945
p_1303753,-122.3791539891,37.7963655406,10,1156.89089686
p_1303753,-122.3767507788,37.7959340071,11,1373.90536226
p_1303753,-122.3743635333,37.7953076941,12,1595.35741939
p_1303753,-122.3724719127,37.7948069071,13,1770.99179726
p_1303753,-122.3714448762,37.7945793632,14,1864.90935413
p_1303753,-122.3690715006,37.7940576391,15,2081.82206900
p_1303753,-122.3668001381,37.7937430285,16,2284.90315901
p_1303753,-122.364022183,37.7933849789,17,2532.78655093
p_1303753,-122.3608634358,37.7929655471,18,2814.87247357
