block_id,bikes_allowed,route_id,wheelchair_accessible,original_trip_id,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_37,1,7,1,1339040,0,PH BART  Via Shadelands,shp-7-04,2_merged_1478087,1339040_merged_1479457,
a_7407,1,4,1,,0,Walnut Creek BART VIA Broadway Plaza,shp-4-05,3_merged_1478082,1398070,
b_117,1,17,1,1476040,0,Concord BART Via John Muir Concord,shp-17-51,2_merged_1478087,1476040_merged_1480180,
b_414,1,14,1,1473040,0,Walnut Creek BART Via PH  BART,shp-14-51,2_merged_1478087,1473040_merged_1480414,
b_116,1,16,1,,1,AMTRAK Via Downtown PH,shp-16-01,4_merged_1478088,95080,
b_410,1,20,1,,1,Concord BART,shp-20-01,2_merged_1478087,1349040,
a_12902,1,10,1,920020,0,Concord BART,shp-10-53,4_merged_1478084,920020_merged_1479261,
b_24,1,4,1,1238040,0,Walnut Creek BART VIA Broadway Plaza,shp-4-05,2_merged_1478087,1238040_merged_1480277,
b_2626,1,626,1,339040,0,St Marys College Via Rohrer Dr,shp-626-03,2_merged_1478087,339040_merged_1479674,
b_1110,1,20,1,565020,0,DVC,shp-20-51,3_merged_1478086,565020_merged_1480545,
a_2001,1,6,1,,1,Lafayette BART Via St Marys College,shp-6-01,2_merged_1478083,234010,
b_635,1,35,1,,0,Dublin BART Via Windemere Pkwy,shp-35-51,2_merged_1478087,680040,
b_2000214,1,14,1,,1,Concord BART Via PH  BART,shp-14-01,4_merged_1478088,209080,
b_100011,1,1,1,,0,Rossmoor Via Walnut Creek BART,shp-1-52,3_merged_1478086,893020,
b_20003321,1,321,1,,0,San Ramon,shp-321-51,1_merged_1478085,1165010,
b_117,1,17,1,,1,N Concord BART Via John Muir Concord,shp-17-01_merged_1478096,4_merged_1478088,1051080,
a_2802,1,622,1,896020,1,Bollinger Canyon/N Gale Ridge,shp-622-01,4_merged_1478084,896020_merged_1479237,
b_100014,1,4,1,1232040,0,Walnut Creek BART VIA Broadway Plaza,shp-4-05,2_merged_1478087,1232040_merged_1479523,
b_16,1,6,1,962040,1,Lafayette BART Via St Marys College,shp-6-01,2_merged_1478087,962040_merged_1479809,
a_11404,1,7,1,,0,PH BART  Via Shadelands,shp-7-04,1_merged_1478081,759040,
b_1000314,1,14,1,,0,Walnut Creek BART Via PH  BART,shp-14-51,2_merged_1478087,740040,
b_115,1,15,1,,1,Concord BART,shp-15-02,4_merged_1478088,1047080,
b_15,1,5,1,,1,Walnut Creek BART,shp-5-01,4_merged_1478088,970080,
b_310,1,10,1,,0,Concord BART,shp-10-53,4_merged_1478088,580080,
b_1000610,1,20,1,,0,DVC,shp-20-51,3_merged_1478086,187020,
a_12302,1,19,1,733020,0,Concord BART,shp-19-51,4_merged_1478084,733020_merged_1479262,
a_5104,1,28,1,1242040,0,DVC/CONCORD BART VIA DVC & VA CLINIC,shp-28-01,1_merged_1478081,1242040_merged_1478142,
b_26,1,6,1,531020,1,Lafayette BART Via St Marys College,shp-6-01,3_merged_1478086,531020_merged_1479795,
b_298,1,98X,1,,0,WC  BART,shp-98X-51,2_merged_1478087,1428040,
b_100024,1,4,1,,0,Walnut Creek BART VIA Broadway Plaza,shp-4-05,4_merged_1478088,664080,
b_100014,1,4,1,,0,Walnut Creek BART VIA Broadway Plaza,shp-4-05,4_merged_1478088,497080,
a_15104,1,6,1,1027040,0,Orinda BART  Via St Marys College,shp-6-51,1_merged_1478081,1027040_merged_1478655,
a_10602,1,35,1,951020,1,San Ramon  Via Bollinger Canyon,shp-35-02,4_merged_1478084,951020_merged_1478591,
a_12502,1,98X,1,578020,1,Martinez AMTRAK,shp-98X-01,4_merged_1478084,578020_merged_1478149,
b_1000218,1,18,1,,1,AMTRAK/Martinez,shp-18-01,4_merged_1478088,1461080,
a_10207,1,301,1,,0,WC BART VIA JOHN MUIR MED CTR,shp-301-02,3_merged_1478082,1000070,
a_602,1,16,1,293020,1,AMTRAK Via Downtown PH,shp-16-01,4_merged_1478084,293020_merged_1478492,
a_8007,1,320,1,,0,DVC Via Diamond,shp-320-51,3_merged_1478082,86070,
b_910,1,20,1,,0,DVC,shp-20-51,4_merged_1478088,603080,
b_1000114,1,14,1,,1,Concord BART Via PH  BART,shp-14-01,4_merged_1478088,1273080,
b_115,1,15,1,,1,Concord BART,shp-15-02,2_merged_1478087,420040,
b_321,1,21,1,,1,Walnut Creek BART,shp-21-01,2_merged_1478087,1391040,
b_1000414,1,14,1,,0,Walnut Creek BART Via PH  BART,shp-14-51,4_merged_1478088,1374080,
b_1000218,1,18,1,,1,AMTRAK/Martinez,shp-18-01,4_merged_1478088,405080,
b_1000115,1,15,1,,0,PH  BART,shp-15-51,4_merged_1478088,1383080,
a_10701,1,4,1,,0,Walnut Creek BART VIA Broadway Plaza,shp-4-05,2_merged_1478083,632010,
b_1616,1,616,1,89020,0,Oak Grove Middle,shp-616-02,3_merged_1478086,89020_merged_1479858,
a_7207,1,316,1,,0,PH  BART Via Martinez AMTRAK,shp-316-51,3_merged_1478082,324070,
b_2316,1,316,1,,1,Downtown PH Via Martinez,shp-316-01,1_merged_1478085,386010,
b_100019,1,9,1,918040,0,WC  BART Via PH  BART,shp-9-51,2_merged_1478087,918040_merged_1479968,
a_17604,1,20,1,892040,0,DVC,shp-20-51,1_merged_1478081,892040_merged_1479311,
b_2311,1,301,1,,0,WC BART VIA JOHN MUIR MED CTR,shp-301-02,5,39070,
b_710,1,10,1,,1,Clayton,shp-10-01,3_merged_1478086,683020,
b_510,1,20,1,,0,DVC,shp-20-51,4_merged_1478088,105080,
a_12602,1,14,1,1041020,1,Concord BART Via PH  BART,shp-14-01,4_merged_1478084,1041020_merged_1478582,
a_13904,1,6,1,,0,Orinda BART  Via St Marys College,shp-6-51,1_merged_1478081,377040,
b_114,1,14,1,875040,0,Walnut Creek BART Via PH  BART,shp-14-51,2_merged_1478087,875040_merged_1479753,
a_1207,1,320,1,579070,0,DVC Via Diamond,shp-320-51,3_merged_1478082,579070_merged_1479177,
b_100026,1,6,1,1375020,1,Lafayette BART Via St Marys College,shp-6-01,3_merged_1478086,1375020_merged_1479907,
a_13804,1,35,1,,0,Dublin BART Via Bollinger Canyon,shp-35-52,1_merged_1478081,1106040,
a_12701,1,310,1,,0,Concord BART,shp-310-51,2_merged_1478083,582010,
b_314,1,14,1,,0,Walnut Creek BART Via PH  BART,shp-14-51,2_merged_1478087,589040,
a_4402,1,14,1,701020,1,Concord BART Via PH  BART,shp-14-01,4_merged_1478084,701020_merged_1478679,
a_10207,1,311,1,,0,WC  BART Via PH  BART,shp-311-51,3_merged_1478082,536070,
b_37,1,7,1,1163020,0,PH BART  Via Shadelands,shp-7-04,3_merged_1478086,1163020_merged_1480350,
a_4804,1,18,1,159040,0,PH  BART,shp-18-51,1_merged_1478081,159040_merged_1479187,
b_291,1,91X,1,,1,Airport Plaza,shp-91X-01,2_merged_1478087,80040,
b_218,1,18,1,,1,AMTRAK/Martinez,shp-18-01,4_merged_1478088,410080,
b_3310,1,310,1,,0,Concord BART,shp-310-51,1_merged_1478085,601010,
a_16804,1,96X,1,,0,Walnut Creek BART Via Bishop Ranch,shp-96X-05,1_merged_1478081,1205040,
a_9602,1,15,1,1347020,0,PH  BART,shp-15-51,4_merged_1478084,1347020_merged_1479231,
a_15704,1,20,1,1411040,0,DVC,shp-20-51,1_merged_1478081,1411040_merged_1478509,
b_3310,1,320,1,,1,Concord BART Via Diamond Blvd,shp-320-01,5,1386070,
a_1802,1,4,1,1217020,0,Walnut Creek BART VIA Broadway Plaza,shp-4-05,4_merged_1478084,1217020_merged_1478927,
a_5102,1,28,1,1007020,0,DVC/CONCORD BART VIA DVC & VA CLINIC,shp-28-01,4_merged_1478084,1007020_merged_1479224,
a_14502,1,95X,1,842020,0,Walnut Creek BART Via San Ramon/Danville Park & Ride,shp-95X-02,4_merged_1478084,842020_merged_1478298,
a_1207,1,320,1,,1,Concord BART Via Diamond Blvd,shp-320-01,3_merged_1478082,1130070,
a_9604,1,15,1,1347040,0,PH  BART,shp-15-51,1_merged_1478081,1347040_merged_1478511,
b_1000316,1,16,1,,0,Concord BART Via Downtown PH,shp-16-51,4_merged_1478088,899080,
b_1000121,1,21,1,,1,Walnut Creek BART,shp-21-01,4_merged_1478088,824080,
b_1000316,1,16,1,296020,0,Concord BART Via Downtown PH,shp-16-51,3_merged_1478086,296020_merged_1479799,
b_10002321,1,335,1,,1,To San Ramon Via Bollinger Canyon,shp-335-01,5,1049070,
a_3302,1,91X,1,1065020,1,Airport Plaza,shp-91X-01,4_merged_1478084,1065020_merged_1479296,
a_15202,1,606,1,,1,OIS,shp-606-01,4_merged_1478084,102020,
b_1000221,1,21,1,1245020,1,Walnut Creek BART,shp-21-01,3_merged_1478086,1245020_merged_1479886,
b_114,1,14,1,,0,Walnut Creek BART Via PH  BART,shp-14-51,4_merged_1478088,875080,
b_10002310,1,320,1,,0,DVC Via Diamond,shp-320-51,5,746070,
b_1000610,1,20,1,,1,Concord BART,shp-20-01,3_merged_1478086,781020,
b_1210,1,10,1,532020,0,Concord BART,shp-10-51,3_merged_1478086,532020_merged_1479551,
b_196,1,95X,1,,0,Walnut Creek BART Via San Ramon/Danville Park & Ride,shp-95X-02,4_merged_1478088,588080,
a_904,1,19,1,1434040,0,Concord BART,shp-19-51,1_merged_1478081,1434040_merged_1478281,
a_9302,1,20,1,505020,1,Concord BART,shp-20-01,4_merged_1478084,505020_merged_1478385,
a_12707,1,320,1,,0,DVC Via Diamond,shp-320-51,3_merged_1478082,975070,
a_12104,1,99X,1,,1,BART N CONCORD,shp-99X-02_merged_1478091,1_merged_1478081,516040,
a_13802,1,35,1,,1,San Ramon  Via Bollinger Canyon,shp-35-02,4_merged_1478084,1020,
b_26,1,6,1,1314040,0,Orinda BART  Via St Marys College,shp-6-51,2_merged_1478087,1314040_merged_1480279,
a_17304,1,20,1,491040,1,Concord BART,shp-20-01,1_merged_1478081,491040_merged_1478529,
a_5704,1,4,1,31040,0,Walnut Creek BART VIA Broadway Plaza,shp-4-05,1_merged_1478081,31040_merged_1478802,
b_310,1,10,1,,1,Clayton,shp-10-01,4_merged_1478088,1204080,
b_435,1,35,1,,1,San Ramon  TC Via Windemere Pkwy,shp-35-01,2_merged_1478087,1380040,
b_1000116,1,16,1,987020,0,Concord BART Via Downtown PH,shp-16-51,3_merged_1478086,987020_merged_1480383,
a_15902,1,35,1,,1,San Ramon  TC Via Windemere Pkwy,shp-35-01,4_merged_1478084,507020,
b_100029,1,9,1,,0,WC  BART Via PH  BART,shp-9-51,4_merged_1478088,630080,
a_14504,1,95X,1,842040,0,Walnut Creek BART Via San Ramon/Danville Park & Ride,shp-95X-02,1_merged_1478081,842040_merged_1478249,
b_114,1,14,1,,1,Concord BART Via PH  BART,shp-14-01,2_merged_1478087,840040,
b_116,1,16,1,,0,Concord BART Via Downtown PH,shp-16-51,2_merged_1478087,447040,
b_46,1,6,1,,1,Lafayette BART Via St Marys College,shp-6-01,3_merged_1478086,230020,
b_310,1,10,1,,0,Concord BART,shp-10-53,4_merged_1478088,1022080,
a_14204,1,7,1,,0,PH BART  Via Shadelands,shp-7-04,1_merged_1478081,751040,
a_502,1,15,1,319020,1,Concord BART,shp-15-02,4_merged_1478084,319020_merged_1478452,
b_210,1,10,1,,0,Concord BART,shp-10-53,4_merged_1478088,1059080,
a_5802,1,5,1,395020,0,Creekside,shp-5-51,4_merged_1478084,395020_merged_1478421,
a_1301,1,311,1,,1,Concord BART Via PH  BART,shp-311-01,2_merged_1478083,393010,
b_210,1,20,1,,1,Concord BART,shp-20-01,3_merged_1478086,684020,
b_1000228,1,28,1,,1,Martinez AMTRAK Via VA Clinic,shp-28-51,4_merged_1478088,872080,
a_13507,1,311,1,310070,0,WC  BART Via PH  BART,shp-311-51,3_merged_1478082,310070_merged_1478579,
b_2000119,1,19,1,,1,Martinez AMTRAK,shp-19-01,3_merged_1478086,1307020,
b_117,1,17,1,196020,0,Concord BART Via John Muir Concord,shp-17-51,3_merged_1478086,196020_merged_1480158,
a_9304,1,10,1,1015040,1,Washington Blvd /Clayton rd,shp-10-03,1_merged_1478081,1015040_merged_1478372,
a_17604,1,20,1,,0,DVC,shp-20-51,1_merged_1478081,155040,
b_100024,1,4,1,,0,Walnut Creek BART VIA Broadway Plaza,shp-4-05,4_merged_1478088,730080,
a_8704,1,10,1,,0,Concord BART,shp-10-51,1_merged_1478081,55040,
b_316,1,16,1,711040,1,AMTRAK Via Downtown PH,shp-16-01,2_merged_1478087,711040_merged_1479999,
b_221,1,21,1,1080040,1,Walnut Creek BART,shp-21-01,2_merged_1478087,1080040_merged_1479769,
a_9302,1,20,1,,0,DVC,shp-20-51,4_merged_1478084,590020,
b_1110,1,10,1,,1,Washington Blvd /Clayton rd,shp-10-03,4_merged_1478088,825080,
b_1000610,1,20,1,,0,DVC,shp-20-51,4_merged_1478088,493080,
b_10003310,1,310,1,,1,CLAYTON,shp-310-01,1_merged_1478085,1155010,
a_8307,1,335,1,,1,To San Ramon Via Bollinger Canyon,shp-335-01,3_merged_1478082,1248070,
b_2310,1,310,1,,0,Concord BART,shp-310-51,5,152070,
b_421,1,21,1,,1,Walnut Creek BART,shp-21-01,2_merged_1478087,1069040,
b_1000215,1,15,1,,1,Concord BART,shp-15-02,4_merged_1478088,127080,
a_6202,1,1,1,630020,0,Rossmoor Via Walnut Creek BART,shp-1-52,4_merged_1478084,630020_merged_1478763,
b_396,1,93X,1,,0,WC  BART,shp-93X-51,4_merged_1478088,1474080,
b_1000314,1,14,1,,1,Concord BART Via PH  BART,shp-14-01,4_merged_1478088,1465080,
a_17102,1,606,1,677020,0,Orinda/Miner Rd,shp-606-03,4_merged_1478084,677020_merged_1478099,
a_5904,1,6,1,,1,Lafayette BART Via St Marys College,shp-6-01,1_merged_1478081,397040,
b_1010,1,20,1,1211020,1,Concord BART,shp-20-01,3_merged_1478086,1211020_merged_1480306,
a_8602,1,10,1,,1,Clayton,shp-10-01,4_merged_1478084,631020,
b_496,1,93X,1,1148040,0,WC  BART,shp-93X-51,2_merged_1478087,1148040_merged_1479686,
b_1000215,1,15,1,868040,0,PH  BART,shp-15-51,2_merged_1478087,868040_merged_1479727,
b_2000119,1,19,1,,1,Martinez AMTRAK,shp-19-01,2_merged_1478087,933040,
b_10002311,1,301,1,,0,WC BART VIA JOHN MUIR MED CTR,shp-301-02,5,441070,
b_10002310,1,310,1,,1,CLAYTON,shp-310-01,5,1330070,
a_5904,1,6,1,,1,Lafayette BART Via St Marys College,shp-6-01,1_merged_1478081,504040,
