shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_899325,37.83869,-122.30074,211,6795.35117821
p_899325,37.83794,-122.30036,212,6885.06521582
p_899325,37.83737,-122.30007,213,6953.28741698
p_899325,37.83725,-122.30075,214,7014.60914994
p_899325,37.83719,-122.30105,215,7041.84380088
p_899325,37.83718,-122.30126,216,7060.36261459
p_899325,37.83717,-122.30151,217,7082.39716365
p_899325,37.83717,-122.30267,218,7184.50768443
p_899325,37.83716,-122.30293,219,7207.42142504
p_899325,37.83717,-122.30393,220,7295.45473936
p_899325,37.83717,-122.30746,221,7606.18761723
p_899325,37.83716,-122.30786,222,7641.41563378
p_899325,37.83714,-122.3082,223,7671.42679988
p_899325,37.83712,-122.30858,224,7704.95039457
p_899325,37.83708,-122.30877,225,7722.25465352
p_899325,37.83708,-122.31136,226,7950.24307604
p_899325,37.8371,-122.31184,227,7992.5540244
p_899325,37.83711,-122.31199,228,8005.80455143
p_899325,37.83715,-122.31219,229,8023.96100611
p_899325,37.83716,-122.31232,230,8035.45813087
p_899325,37.83716,-122.31343,231,8133.16734929
p_899325,37.83716,-122.31232,232,8230.87656771
p_899325,37.83715,-122.31219,233,8242.37369247
p_899325,37.83711,-122.31199,234,8260.53014715
p_899325,37.8371,-122.31184,235,8273.78067418
p_899325,37.83708,-122.31136,236,8316.09162254
p_899325,37.83708,-122.30877,237,8544.08004506
p_899325,37.83706,-122.30857,238,8561.8247318
p_899325,37.83707,-122.30779,239,8630.49432245
p_899325,37.83707,-122.30461,240,8910.41836935
p_899382,37.8293953484547,-122.266413479468,1,0
p_899382,37.829340333643,-122.266091334143,2,29.01017765
p_899382,37.8268662947316,-122.266747361398,3,309.61956033
p_899382,37.8271864022803,-122.269019403806,4,512.77743723
p_899382,37.8282871267148,-122.268781029616,5,636.73967431
p_899382,37.828760888789,-122.268679101291,6,690.0842132
p_899382,37.8293443860399,-122.268542655427,7,755.9530223
p_899382,37.8298078374071,-122.268395963618,8,808.98927476
p_899382,37.830700548613,-122.27396965027,9,1309.57055803
p_899382,37.831344563638,-122.27830410004,10,1697.78545532
p_899382,37.83109,-122.27984,11,1835.91658274
p_899382,37.83186,-122.28004,12,1923.1761418
p_899382,37.83208,-122.28012,13,1948.58996892
p_899382,37.83234,-122.28021,14,1978.51606845
p_899382,37.83231,-122.28036,15,1992.13423923
p_899382,37.83224914104,-122.2807046771,16,2023.21970177
p_899382,37.832251259475,-122.28068053722,17,2025.35775611
p_899382,37.83219,-122.28096,18,2050.881792
p_899382,37.83218,-122.28102,19,2056.27908566
p_899382,37.83213,-122.28124,20,2076.42563184
p_899382,37.8321,-122.28139,21,2090.04383888
p_899382,37.83208,-122.28147,22,2097.42800084
p_899382,37.83206,-122.28158,23,2107.3627457
p_899382,37.83186,-122.28258,24,2198.15097108
p_899382,37.83179,-122.28292,25,2229.07404763
p_899382,37.831790118881,-122.282920015378,26,2229.08731189
p_899382,37.8317461085984,-122.28316974271,27,2251.60765465
p_899382,37.831641115013,-122.283699730577,28,2299.69734935
p_899382,37.8315305952954,-122.284241962386,29,2348.98262028
p_899382,37.8314228384009,-122.284766702846,30,2396.70035255
p_899382,37.83121282591,-122.285815255854,31,2491.90559296
p_899382,37.8315293402847,-122.285911820376,32,2528.05044273
p_899382,37.83203,-122.28608,33,2585.55877114
p_899382,37.83216,-122.28612,34,2600.41135607
p_899382,37.8325008833119,-122.286253008268,35,2640.01748779
p_899382,37.8336637277151,-122.2866880721,36,2774.64796597
p_899382,37.8336584668041,-122.28668924168,37,2775.24089944
p_899382,37.83567,-122.28747,38,3008.84703309
p_899382,37.83624,-122.28771,39,3075.54748928
p_899382,37.83639,-122.28777,40,3093.01417639
p_899382,37.8367,-122.2879,41,3129.27518957
p_899382,37.8368936197689,-122.287967488479,42,3151.57171904
p_899382,37.8371275774724,-122.288063883836,43,3178.89068021
p_899382,37.837342038063,-122.288161533118,44,3204.19883378
p_899382,37.8376381968821,-122.288347270512,45,3240.91204612
p_899382,37.8379733469698,-122.288570625605,46,3282.98760138
p_899382,37.8381413856344,-122.288678776493,47,3303.92792827
p_899382,37.8382815723011,-122.288771645193,48,3321.50445299
p_899382,37.8383595568177,-122.288811614,49,3330.84792231
p_899382,37.8384069045196,-122.288836300615,50,3336.53475706
p_899382,37.83838,-122.289,51,3351.25054928
p_899382,37.83833,-122.28916,52,3366.38849717
p_899382,37.83826,-122.28933,53,3383.24952881
p_899382,37.83819,-122.28944,54,3395.66409725
p_899382,37.83814,-122.28952,55,3404.6300749
p_899382,37.83804,-122.2896,56,3417.7748606
p_899382,37.83796,-122.28966,57,3428.10634113
p_899382,37.83788,-122.28974,58,3439.43927
p_899382,37.83771,-122.28994,59,3465.24575455
p_899382,37.83762,-122.29004,60,3478.56016492
p_899382,37.837297199557,-122.29039818048,61,3526.2863272
p_899382,37.83767,-122.29042,62,3567.70926995
p_899382,37.83772,-122.29043,63,3573.32831733
p_899382,37.83874,-122.29078,64,3690.65874099
p_899382,37.83915,-122.29089,65,3737.18474359
p_899382,37.83924,-122.29092,66,3747.51729815
p_899382,37.84023,-122.29124,67,3860.95358441
p_899382,37.8408,-122.29142,68,3926.17362921
p_899382,37.84089,-122.29145,69,3936.50617145
p_899382,37.84094,-122.29145,70,3942.05584487
p_899382,37.84109,-122.29071,71,4009.28604612
p_899382,37.84111,-122.29062,72,4017.51314009
p_899382,37.8413,-122.28975,73,4096.94258037
p_899382,37.8415,-122.28981,74,4119.76086185
p_899382,37.8416,-122.28984,75,4131.17000163
p_899382,37.84177,-122.2899,76,4150.76405077
p_899382,37.84261,-122.29017,77,4246.979834
p_899382,37.84308,-122.29032,78,4300.79161601
p_899382,37.84395,-122.29059,79,4400.23735061
p_899382,37.84451,-122.29076,80,4464.16940838
p_899382,37.8448,-122.29086,81,4497.53924703
p_899382,37.84506,-122.29094,82,4527.24418889
p_899382,37.84553,-122.29109,83,4581.05588483
p_899382,37.84596,-122.29122,84,4630.13551501
p_899382,37.84637,-122.29136,85,4677.28163206
p_899382,37.84677,-122.29149,86,4723.12975563
p_899382,37.84702,-122.29157,87,4751.7575684
p_899382,37.84708,-122.29158,88,4758.47509243
p_899382,37.84782,-122.29182,89,4843.2830985
p_899382,37.84885,-122.29215,90,4961.23823924
p_899382,37.84936,-122.29234,91,5020.26331315
p_899382,37.84943,-122.29235,92,5028.08255716
p_899382,37.84949,-122.29236,93,5034.80008015
p_899382,37.84955,-122.29236,94,5041.45969801
p_899382,37.84961,-122.29234,95,5048.34801602
p_899382,37.84965,-122.29232,96,5053.12397125
p_899382,37.84969,-122.29228,97,5058.79009556
p_899382,37.84974,-122.29222,98,5066.45068247
p_899382,37.84977,-122.29213,99,5075.04313355
p_899382,37.8498,-122.29202,100,5085.28101094
p_899382,37.85001,-122.29101,101,5177.17744608
p_899382,37.85004,-122.29091,102,5186.58739022
p_899382,37.85007,-122.29086,103,5192.10576577
p_899382,37.85013,-122.29083,104,5199.26969293
p_899382,37.85017,-122.29084,105,5203.79583186
p_899382,37.85021,-122.29084,106,5208.23557761
p_899382,37.85058,-122.29097,107,5250.86722024
p_899382,37.85081,-122.29104,108,5277.12861387
p_899382,37.8509,-122.29107,109,5287.46108136
p_899382,37.85102,-122.2911,110,5301.03949433
p_899382,37.85111,-122.29112,111,5311.18281676
p_899382,37.85113,-122.29113,112,5313.57078837
p_899382,37.85146,-122.29123,113,5351.24120782
p_899382,37.85152,-122.29124,114,5357.95872993
p_899382,37.85159,-122.29127,115,5366.16464691
p_899382,37.85185,-122.29135,116,5395.86946814
p_899382,37.85202,-122.29141,117,5415.46335198
p_899382,37.85224,-122.29149,118,5440.87672853
p_899382,37.85226,-122.2914,119,5449.10267515
p_899382,37.85259,-122.2898,120,5594.6015757
p_899382,37.85257,-122.28971,121,5602.82748836
p_899382,37.85233,-122.28962,122,5630.61861803
p_9024,37.8293891352597,-122.266360633893,1,0
p_9024,37.8293500408401,-122.266093905387,2,23.87915984
p_9024,37.8286871701942,-122.266256947728,3,98.84037089
p_9024,37.82741,-122.26664,4,244.55359643
p_9024,37.82686,-122.26676,5,306.50726397
p_9024,37.82724,-122.26907,6,514.2034452
p_9024,37.8289426318828,-122.268628431681,7,707.14096807
p_9024,37.8298029056001,-122.268400687429,8,804.70781991
p_9024,37.8307,-122.27391,9,1299.83298736
p_9024,37.83091,-122.27522,10,1417.48927395
p_9024,37.83096,-122.27552,11,1444.47617803
p_9024,37.83098,-122.27563,12,1454.41106293
p_9024,37.83099,-122.27573,13,1463.28412351
p_9024,37.83098,-122.27581,14,1470.41374292
p_9024,37.83097,-122.27588,15,1476.67525993
p_9024,37.83095,-122.27594,16,1482.40479336
p_9024,37.83108,-122.27666,17,1547.41062182
p_9024,37.83119,-122.27735,18,1609.36859606
p_9024,37.83122,-122.2775,19,1622.98696024
p_9024,37.83124,-122.27764,20,1635.50995253
p_9024,37.83128,-122.2779,21,1658.82523247
p_9024,37.83133,-122.27823,22,1688.40154653
p_9024,37.83136,-122.2784,23,1703.73315521
p_9024,37.83118,-122.27937,24,1791.43150617
p_9024,37.83118,-122.27939,25,1793.19217474
p_9024,37.83109,-122.27984,26,1834.04730354
p_9024,37.83106,-122.27997,27,1845.96623713
p_9024,37.831,-122.28027,28,1873.20302592
p_9024,37.83084,-122.28108,29,1946.68849619
p_9024,37.83075,-122.2815,30,1984.98838982
p_9024,37.83061,-122.28218,31,2046.83543758
p_9024,37.8305,-122.28269,32,2093.36333251
p_9024,37.83038,-122.28329,33,2147.83731761
p_9024,37.83015,-122.28442,34,2250.53967308
p_9024,37.83005,-122.28491,35,2295.08174949
p_9024,37.82999,-122.28518,36,2319.76645101
p_9024,37.82994,-122.28542,37,2341.61151338
p_9024,37.82972,-122.28652,38,2441.48125847
p_9024,37.82965,-122.28685,39,2471.55387141
p_9024,37.8295,-122.28761,40,2540.50106895
