trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
525W,SF,Weekday,San Francisco - Transbay Terminal,,1,,ejnn,1,0
527W,SF,Weekday,San Francisco - Transbay Terminal,,1,,ejnn,1,0
529W,SF,Weekday,San Francisco - Transbay Terminal,,1,,ejnn,1,0
531W,SF,Weekday,San Francisco - Transbay Terminal,,1,,ejnn,1,0
541W,SF,Weekday,San Francisco - Transbay Terminal,,1,,ejnn,1,0
543W,SF,Weekday,San Francisco - Transbay Terminal,,1,,ejnn,1,0
545W,SF,Weekday,San Francisco - Transbay Terminal,,1,,ejnn,1,0
547W,SF,Weekday,San Francisco - Transbay Terminal,,1,,ejnn,1,0
549W,SF,Weekday,San Francisco - Transbay Terminal,,1,,ejnn,1,0
551W,SF,Weekday,San Francisco - Transbay Terminal,,1,,ejnn,1,0
723W,SF,Weekend,San Francisco - Transbay Terminal,,1,,ejnn,1,0
727W,SF,Weekend,San Francisco - Transbay Terminal,,1,,ejnn,1,0
729W,SF,Weekend,San Francisco - Transbay Terminal,,1,,ejnn,1,0
733W,SF,Weekend,San Francisco - Transbay Terminal,,1,,ejnn,1,0
737W,SF,Weekend,San Francisco - Transbay Terminal,,1,,ejnn,1,0
741W,SF,Weekend,San Francisco - Transbay Terminal,,1,,ejnn,1,0
745W,SF,Weekend,San Francisco - Transbay Terminal,,1,,ejnn,1,0
743W,SF,Weekend,San Francisco - Transbay Terminal,,1,,ejnn,1,0
524E,SF,Weekday,Emeryville,,0,,cpz2,1,0
528E,SF,Weekday,Emeryville,,0,,cpz2,1,0
532E,SF,Weekday,Emeryville,,0,,cpz2,1,0
534E,SF,Weekday,Emeryville,,0,,cpz2,1,0
536E,SF,Weekday,Emeryville,,0,,cpz2,1,0
538E,SF,Weekday,Emeryville,,0,,cpz2,1,0
540E,SF,Weekday,Emeryville,,0,,cpz2,1,0
542E,SF,Weekday,Emeryville,,0,,cpz2,1,0
544E,SF,Weekday,Emeryville,,0,,cpz2,1,0
546E,SF,Weekday,Emeryville,,0,,cpz2,1,0
548E,SF,Weekday,Emeryville,,0,,cpz2,1,0
720E,SF,Weekend,Emeryville,,0,,cpz2,1,0
724E,SF,Weekend,Emeryville,,0,,cpz2,1,0
728E,SF,Weekend,Emeryville,,0,,cpz2,1,0
732E,SF,Weekend,Emeryville,,0,,cpz2,1,0
734E,SF,Weekend,Emeryville,,0,,cpz2,1,0
736E,SF,Weekend,Emeryville,,0,,cpz2,1,0
738E,SF,Weekend,Emeryville,,0,,cpz2,1,0
742E,SF,Weekend,Emeryville,,0,,cpz2,1,0
744E,SF,Weekend,Emeryville,,0,,cpz2,1,0
746E,SF,Weekend,Emeryville,,0,,cpz2,1,0
748E,SF,Weekend,Emeryville,,0,,cpz2,1,0
