fare_id,route_id,origin_id,destination_id,contains_id
14,CC,SUI,RIC,
14,CC,OAC,MTZ,
14,CC,MTZ,OAC,
14,CC,FMT,RIC,
14,CC,RIC,FMT,
14,CC,GAC,OKJ,
14,CC,OKJ,GAC,
14,CC,SCC,OAC,
14,CC,OAC,SCC,
14,CC,SJC,OAC,
14,CC,OAC,SJC,
15,CC,SFC,MTZ,
15,CC,MTZ,SFC,
15,CC,RIC,FFV,
15,CC,FFV,RIC,
15,CC,SCC,OKJ,
15,CC,OKJ,SCC,
15,CC,SJC,OKJ,
15,CC,OKJ,SJC,
16,CC,ARN,DAV,
16,CC,DAV,ARN,
16,CC,BKY,SUI,
16,CC,SUI,BKY,
16,CC,HAY,MTZ,
16,CC,MTZ,HAY,
16,CC,GAC,BKY,
16,CC,BKY,GAC,
16,CC,GAC,EMY,
16,CC,EMY,GAC,
17,CC,FFV,RSV,
17,CC,RSV,FFV,
17,CC,MTZ,SAC,
17,CC,SAC,MTZ,
17,CC,BKY,FFV,
17,CC,FFV,BKY,
17,CC,EMY,SUI,
17,CC,SUI,EMY,
17,CC,OKJ,SUI,
17,CC,SUI,OKJ,
17,CC,OAC,SUI,
17,CC,SUI,OAC,
17,CC,GAC,RIC,
17,CC,RIC,GAC,
17,CC,SCC,BKY,
17,CC,BKY,SCC,
17,CC,SJC,BKY,
17,CC,BKY,SJC,
17,CC,SCC,EMY,
17,CC,EMY,SCC,
17,CC,SJC,EMY,
17,CC,EMY,SJC,
18,CC,RSV,SUI,
18,CC,SUI,RSV,
18,CC,EMY,FFV,
18,CC,FFV,EMY,
18,CC,FMT,MTZ,
18,CC,MTZ,FMT,
18,CC,SCC,RIC,
18,CC,RIC,SCC,
18,CC,SJC,RIC,
18,CC,RIC,SJC,
19,CC,OKJ,FFV,
19,CC,FFV,OKJ,
19,CC,OAC,FFV,
19,CC,FFV,OAC,
20,CC,FFV,RLN,
20,CC,RLN,FFV,
20,CC,SFC,SUI,
20,CC,SUI,SFC,
21,CC,RIC,DAV,
21,CC,DAV,RIC,
22,CC,FFV,ARN,
22,CC,ARN,FFV,
22,CC,SUI,RLN,
22,CC,RLN,SUI,
22,CC,BKY,DAV,
22,CC,DAV,BKY,
22,CC,SFC,FFV,
22,CC,FFV,SFC,
22,CC,HAY,SUI,
22,CC,SUI,HAY,
22,CC,GAC,MTZ,
22,CC,MTZ,GAC,
23,CC,HAY,FFV,
23,CC,FFV,HAY,
23,CC,SCC,MTZ,
23,CC,MTZ,SCC,
24,CC,SUI,ARN,
24,CC,ARN,SUI,
24,CC,FMT,SUI,
24,CC,SUI,FMT,
25,CC,MTZ,RSV,
25,CC,RSV,MTZ,
25,CC,RIC,SAC,
25,CC,SAC,RIC,
25,CC,EMY,DAV,
25,CC,DAV,EMY,
25,CC,OKJ,DAV,
25,CC,DAV,OKJ,
25,CC,OAC,DAV,
25,CC,DAV,OAC,
25,CC,FMT,FFV,
25,CC,FFV,FMT,
25,CC,SJC,MTZ,
25,CC,MTZ,SJC,
26,CC,MTZ,RLN,
26,CC,RLN,MTZ,
26,CC,BKY,SAC,
26,CC,SAC,BKY,
26,CC,EMY,SAC,
26,CC,SAC,EMY,
26,CC,OKJ,SAC,
26,CC,SAC,OKJ,
26,CC,OAC,SAC,
26,CC,SAC,OAC,
26,CC,HAY,DAV,
26,CC,DAV,HAY,
26,CC,GAC,SUI,
26,CC,SUI,GAC,
27,CC,GAC,FFV,
27,CC,FFV,GAC,
28,CC,MTZ,ARN,
28,CC,ARN,MTZ,
28,CC,RIC,RLN,
28,CC,RLN,RIC,
