route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
"396",2,233,"Westbound Pacifica",1,203,81
"396",2,234,"Eastbound Delta Fair Kaiser",0,203,78
"393",2,235,"Westbound Antioch BART",1,204,69
"393",2,236,"Eastbound Brentwood Park & Ride",0,204,70
"393",2,237,"Westbound Antioch BART",1,204,69
"393",2,238,"Eastbound Brentwood Park & Ride",0,204,70
"393",2,239,"Westbound Antioch BART",1,204,69
"392",2,240,"Westbound Pittsburg-Bay Point BART",1,204,71
"394",2,241,"Eastbound Antioch BART",0,204,68
"395",2,242,"Loop Antioch BART",0,204,73
"393",2,243,"Eastbound Brentwood Park & Ride",0,204,70
"393",2,244,"Westbound Antioch BART",1,204,69
"393",2,245,"Westbound Antioch BART",1,205,69
"396",2,246,"Westbound Pacifica",1,205,81
"396",2,247,"Eastbound Delta Fair Kaiser",0,205,78
"395",2,248,"Loop Antioch BART",0,205,73
"393",2,249,"Eastbound Brentwood Park & Ride",0,205,70
"393",2,250,"Westbound Antioch BART",1,205,69
"392",2,251,"Westbound Pittsburg-Bay Point BART",1,205,71
"394",2,252,"Eastbound Antioch BART",0,205,68
"395",2,253,"Loop Antioch BART",0,205,73
"393",2,254,"Eastbound Brentwood Park & Ride",0,205,70
"393",2,255,"Westbound Antioch BART",1,205,69
"394",2,256,"Westbound Pittsburg-Bay Point BART",1,206,74
"392",2,257,"Eastbound Antioch BART",0,206,62
"394",2,258,"Westbound Pittsburg-Bay Point BART",1,206,74
"392",2,259,"Eastbound Antioch BART",0,206,62
"394",2,260,"Westbound Pittsburg-Bay Point BART",1,206,74
"392",2,261,"Eastbound Antioch BART",0,206,62
"396",2,262,"Westbound Pacifica",1,206,81
"396",2,263,"Eastbound Delta Fair Kaiser",0,206,78
"392",2,264,"Westbound Pittsburg-Bay Point BART",1,207,71
"394",2,265,"Eastbound Antioch BART",0,207,68
"395",2,266,"Loop Antioch BART",0,207,73
"393",2,267,"Eastbound Brentwood Park & Ride",0,207,70
"393",2,268,"Westbound Antioch BART",1,207,69
"394",2,269,"Eastbound Antioch BART",0,207,68
"394",2,270,"Westbound Pittsburg-Bay Point BART",1,207,74
"392",2,271,"Eastbound Antioch BART",0,207,62
"396",2,272,"Eastbound Pittsburg-Bay Point BART",1,207,90
"394",2,273,"Eastbound Antioch BART",0,208,68
"394",2,274,"Westbound Pittsburg-Bay Point BART",1,208,74
"392",2,275,"Eastbound Antioch BART",0,208,62
"396",2,276,"Westbound Pacifica",1,208,81
"396",2,277,"Eastbound Delta Fair Kaiser",0,208,78
"396",2,278,"Westbound Pacifica",1,208,81
"396",2,279,"Eastbound Delta Fair Kaiser",0,208,78
"395",2,280,"Loop Antioch BART",0,208,73
"393",2,281,"Eastbound Brentwood Park & Ride",0,208,70
"393",2,282,"Westbound Antioch BART",1,208,69
"393",2,283,"Eastbound Brentwood Park & Ride",0,208,70
"393",2,284,"Westbound Antioch BART",1,209,69
"393",2,285,"Eastbound Brentwood Park & Ride",0,209,70
"393",2,286,"Westbound Antioch BART",1,209,69
"392",2,287,"Westbound Pittsburg-Bay Point BART",1,209,71
"394",2,288,"Eastbound Antioch BART",0,209,68
"395",2,289,"Loop Antioch BART",0,209,73
"393",2,290,"Eastbound Brentwood Park & Ride",0,209,70
"393",2,291,"Westbound Antioch BART",1,209,69
"392",2,292,"Westbound Pittsburg-Bay Point BART",1,209,71
"392",2,293,"Eastbound Antioch BART",0,209,62
"392",2,294,"Eastbound Antioch BART",0,210,62
"396",2,295,"Westbound Pacifica",1,210,81
"396",2,296,"Eastbound Delta Fair Kaiser",0,210,78
"395",2,297,"Loop Antioch BART",0,210,73
"393",2,298,"Eastbound Brentwood Park & Ride",0,210,70
"393",2,299,"Westbound Antioch BART",1,210,69
"392",2,300,"Westbound Pittsburg-Bay Point BART",1,210,71
"394",2,301,"Eastbound Antioch BART",0,210,68
"395",2,302,"Loop Antioch BART",0,210,73
"393",2,303,"Eastbound Brentwood Park & Ride",0,210,70
"393",2,304,"Westbound Antioch BART",1,210,69
"393",2,305,"Eastbound Brentwood Park & Ride",0,210,70
"394",2,306,"Westbound Pittsburg-Bay Point BART",1,211,74
"392",2,307,"Eastbound Antioch BART",0,211,62
"394",2,308,"Westbound Pittsburg-Bay Point BART",1,211,74
"392",2,309,"Eastbound Antioch BART",0,211,62
"394",2,310,"Westbound Pittsburg-Bay Point BART",1,211,74
"392",2,311,"Eastbound Antioch BART",0,211,62
"396",2,312,"Westbound Pacifica",1,211,81
"392",2,313,"Eastbound Antioch BART",0,211,62
"392",2,314,"Westbound Pittsburg-Bay Point BART",1,212,71
"394",2,315,"Eastbound Antioch BART",0,212,68
"395",2,316,"Loop Antioch BART",0,212,73
"393",2,317,"Eastbound Brentwood Park & Ride",0,212,70
"393",2,318,"Westbound Antioch BART",1,212,69
"392",2,319,"Westbound Pittsburg-Bay Point BART",1,212,71
"394",2,320,"Eastbound Antioch BART",0,212,68
"392",2,321,"Westbound Pittsburg-Bay Point BART",1,212,71
"396",2,322,"Eastbound Delta Fair Kaiser",0,212,89
"396",2,323,"Eastbound Delta Fair Kaiser",0,212,89
"393",2,324,"Eastbound Brentwood Park & Ride",0,212,70
"392",2,325,"Eastbound Antioch BART",0,213,87
"392",2,326,"Eastbound Antioch BART",0,213,87
"392",2,327,"Westbound Pittsburg-Bay Point BART",1,213,71
"394",2,328,"Eastbound Antioch BART",0,213,68
"394",2,329,"Westbound Pittsburg-Bay Point BART",1,213,74
"392",2,330,"Eastbound Antioch BART",0,213,62
"394",2,331,"Westbound Pittsburg-Bay Point BART",1,213,74
"392",2,332,"Eastbound Antioch BART",0,213,62
"396",2,333,"Westbound Pacifica",1,213,81
"392",2,334,"Westbound Pittsburg-Bay Point BART",1,214,71
"394",2,335,"Eastbound Antioch BART",0,214,68
"394",2,336,"Westbound Pittsburg-Bay Point BART",1,214,74
"396",2,337,"Westbound Pacifica",1,214,81
"396",2,338,"Eastbound Delta Fair Kaiser",0,214,78
"393",3,339,"Westbound Antioch BART",1,301,69
"394",3,340,"Westbound Pittsburg-Bay Point BART",1,301,74
"394",3,341,"Eastbound Antioch BART",0,301,68
"392",3,342,"Westbound Pittsburg-Bay Point BART",1,301,71
"394",3,343,"Eastbound Antioch BART",0,301,68
"392",3,344,"Westbound Pittsburg-Bay Point BART",1,301,71
"394",3,345,"Eastbound Antioch BART",0,301,68
"392",3,346,"Westbound Pittsburg-Bay Point BART",1,301,71
"392",3,347,"Eastbound Antioch BART",0,301,62
"396",3,348,"Eastbound Delta Fair Kaiser",0,302,78
"396",3,349,"Westbound Pacifica",1,302,81
"396",3,350,"Eastbound Delta Fair Kaiser",0,302,78
"396",3,351,"Westbound Pacifica",1,302,81
"396",3,352,"Eastbound Delta Fair Kaiser",0,302,78
"396",3,353,"Westbound Pacifica",1,302,81
"396",3,354,"Eastbound Delta Fair Kaiser",0,302,78
"396",3,355,"Westbound Pacifica",1,302,81
"396",3,356,"Eastbound Delta Fair Kaiser",0,302,78
"396",3,357,"Westbound Pacifica",1,302,81
"396",3,358,"Eastbound Delta Fair Kaiser",0,302,78
"396",3,359,"Westbound Pacifica",1,302,81
"396",3,360,"Eastbound Delta Fair Kaiser",0,302,78
"396",3,361,"Westbound Pacifica",1,302,81
"396",3,362,"Westbound Pacifica",1,303,81
"396",3,363,"Eastbound Delta Fair Kaiser",0,303,78
"393",3,364,"Eastbound Brentwood Park & Ride",0,303,70
"393",3,365,"Westbound Antioch BART",1,303,69
"394",3,366,"Westbound Pittsburg-Bay Point BART",1,303,74
"392",3,367,"Eastbound Antioch BART",0,303,62
"395",3,368,"Loop Antioch BART",0,303,73
"393",3,369,"Eastbound Brentwood Park & Ride",0,303,70
"393",3,370,"Westbound Antioch BART",1,303,69
"394",3,371,"Westbound Pittsburg-Bay Point BART",1,303,74
"392",3,372,"Eastbound Antioch BART",0,303,62
"392",3,373,"Eastbound Antioch BART",0,303,62
"393",3,374,"Westbound Antioch BART",1,304,69
"394",3,375,"Westbound Pittsburg-Bay Point BART",1,304,74
"392",3,376,"Eastbound Antioch BART",0,304,62
"395",3,377,"Loop Antioch BART",0,304,73
"393",3,378,"Eastbound Brentwood Park & Ride",0,304,70
"393",3,379,"Westbound Antioch BART",1,304,69
"394",3,380,"Westbound Pittsburg-Bay Point BART",1,304,74
"392",3,381,"Eastbound Antioch BART",0,304,62
"395",3,382,"Loop Antioch BART",0,304,73
"392",3,383,"Westbound Pittsburg-Bay Point BART",1,305,71
"394",3,384,"Eastbound Antioch BART",0,305,68
"392",3,385,"Westbound Pittsburg-Bay Point BART",1,305,71
"394",3,386,"Eastbound Antioch BART",0,305,68
"392",3,387,"Westbound Pittsburg-Bay Point BART",1,305,71
"394",3,388,"Eastbound Antioch BART",0,305,68
"392",3,389,"Westbound Pittsburg-Bay Point BART",1,305,71
"392",3,390,"Eastbound Antioch BART",0,306,87
"393",3,391,"Westbound Antioch BART",1,306,69
