zone_id,access_node_id,distance,geometry
34.0,1000025.0,936.1003108159541,"LINESTRING (-122.26060231 37.80493923, -122.265232 37.797357)"
35.0,1000001.0,1803.6483168466902,"LINESTRING (-122.26115375 37.81744023, -122.271589 37.803471)"
35.0,1000003.0,1236.904757636771,"LINESTRING (-122.26115375 37.81744023, -122.268722 37.80806)"
35.0,1000026.0,1370.4263740133686,"LINESTRING (-122.26115375 37.81744023, -122.267163 37.828814)"
36.0,1000001.0,1849.1461287690333,"LINESTRING (-122.25512074 37.81382785, -122.271589 37.803471)"
36.0,1000003.0,1356.0954405028062,"LINESTRING (-122.25512074 37.81382785, -122.268722 37.80806)"
36.0,1000026.0,1973.7410813989045,"LINESTRING (-122.25512074 37.81382785, -122.267163 37.828814)"
37.0,1000001.0,1535.9953078037483,"LINESTRING (-122.25662045 37.81060902, -122.271589 37.803471)"
37.0,1000003.0,1100.257680759196,"LINESTRING (-122.25662045 37.81060902, -122.268722 37.80806)"
37.0,1000025.0,1656.437601332976,"LINESTRING (-122.25662045 37.81060902, -122.265232 37.797357)"
39.0,1000003.0,1926.3454056434714,"LINESTRING (-122.25030307 37.81746118, -122.268722 37.80806)"
39.0,1000026.0,1945.9108799271057,"LINESTRING (-122.25030307 37.81746118, -122.267163 37.828814)"
40.0,1000026.0,1190.7980077100772,"LINESTRING (-122.25542068 37.82346051, -122.267163 37.828814)"
41.0,1000026.0,1351.6279056477986,"LINESTRING (-122.25177534 37.82901158, -122.267163 37.828814)"
41.0,1000040.0,1755.5949847359484,"LINESTRING (-122.25177534 37.82901158, -122.251271 37.844795)"
42.0,1000040.0,1674.4048472205268,"LINESTRING (-122.23582803 37.83596224, -122.251271 37.844795)"
43.0,1000040.0,1024.7008992269868,"LINESTRING (-122.23961338 37.84521651, -122.251271 37.844795)"
53.0,1000025.0,1998.0650631205824,"LINESTRING (-122.24481654 37.80527369, -122.265232 37.797357)"
54.0,1000001.0,1535.076362151801,"LINESTRING (-122.25448966 37.80063461, -122.271589 37.803471)"
54.0,1000003.0,1498.4048815925478,"LINESTRING (-122.25448966 37.80063461, -122.268722 37.80806)"
54.0,1000025.0,1011.7685092419566,"LINESTRING (-122.25448966 37.80063461, -122.265232 37.797357)"
55.0,1000025.0,1428.5553229446632,"LINESTRING (-122.24924478 37.79502039, -122.265232 37.797357)"
56.0,1000025.0,1829.511836183416,"LINESTRING (-122.24443634 37.79818613, -122.265232 37.797357)"
61.0,1000025.0,1716.6502573505272,"LINESTRING (-122.2507059 37.78703378, -122.265232 37.797357)"
62.0,1000021.0,435.42663288623027,"LINESTRING (-122.22871865 37.77352569, -122.224067 37.774873)"
63.0,1000021.0,1293.2138831833574,"LINESTRING (-122.23176051 37.78478689, -122.224067 37.774873)"
64.0,1000021.0,822.8845637607749,"LINESTRING (-122.22759345 37.78172842, -122.224067 37.774873)"
65.0,1000021.0,1581.898634828107,"LINESTRING (-122.22612431 37.78900613, -122.224067 37.774873)"
67.0,1000021.0,1528.1813959543738,"LINESTRING (-122.21810677 37.78778372, -122.224067 37.774873)"
73.0,1000021.0,1215.6246641635503,"LINESTRING (-122.21290042 37.78132432, -122.224067 37.774873)"
74.0,1000021.0,434.339780765969,"LINESTRING (-122.22040847 37.77749894, -122.224067 37.774873)"
75.0,1000013.0,1758.9784396900125,"LINESTRING (-122.2128096 37.76298398, -122.196698 37.753604)"
75.0,1000021.0,1651.302679403391,"LINESTRING (-122.2128096 37.76298398, -122.224067 37.774873)"
76.0,1000021.0,1504.5710197431408,"LINESTRING (-122.20781337 37.77062745, -122.224067 37.774873)"
77.0,1000013.0,1732.8760526898338,"LINESTRING (-122.19867155 37.76910983, -122.196698 37.753604)"
78.0,1000021.0,1754.5515617428869,"LINESTRING (-122.2043272 37.7772265, -122.224067 37.774873)"
87.0,1000013.0,1658.5225196915137,"LINESTRING (-122.17961783 37.75993772, -122.196698 37.753604)"
88.0,1000013.0,1789.9769427314986,"LINESTRING (-122.18339665 37.76579215, -122.196698 37.753604)"
89.0,1000013.0,1749.0799657282419,"LINESTRING (-122.19010155 37.76844423, -122.196698 37.753604)"
90.0,1000013.0,540.7422575240843,"LINESTRING (-122.19809734 37.75833949, -122.196698 37.753604)"
91.0,1000013.0,595.9444561150036,"LINESTRING (-122.18991971 37.75364992, -122.196698 37.753604)"
92.0,1000032.0,1684.966217335053,"LINESTRING (-122.21197891 37.72840789, -122.212237 37.713256)"
94.0,1000041.0,1764.9383782617836,"LINESTRING (-122.17888617 37.72853794, -122.160713 37.721806)"
96.0,1000013.0,1722.7003259992625,"LINESTRING (-122.181411 37.74391307, -122.196698 37.753604)"
97.0,1000013.0,1112.927924321394,"LINESTRING (-122.18498925 37.74980009, -122.196698 37.753604)"
107.0,1000037.0,1065.848451443187,"LINESTRING (-122.29205551 37.89471138, -122.298895 37.902633)"
108.0,1000037.0,908.4144073055618,"LINESTRING (-122.29835508 37.89447455, -122.298895 37.902633)"
109.0,1000037.0,1306.08220042073,"LINESTRING (-122.30669302 37.89262799, -122.298895 37.902633)"
111.0,1000030.0,1774.499145477013,"LINESTRING (-122.29611157 37.88651041, -122.283508 37.874032)"
111.0,1000037.0,1809.3113451270071,"LINESTRING (-122.29611157 37.88651041, -122.298895 37.902633)"
112.0,1000030.0,1499.4800807525974,"LINESTRING (-122.28846379 37.88693738, -122.283508 37.874032)"
112.0,1000037.0,1970.7340178903478,"LINESTRING (-122.28846379 37.88693738, -122.298895 37.902633)"
115.0,1000030.0,1902.468467295572,"LINESTRING (-122.28274542 37.89113072, -122.283508 37.874032)"
115.0,1000037.0,1908.8961309199492,"LINESTRING (-122.28274542 37.89113072, -122.298895 37.902633)"
116.0,1000030.0,1861.286445526598,"LINESTRING (-122.27255081 37.88836373, -122.283508 37.874032)"
118.0,1000016.0,1824.1339667972252,"LINESTRING (-122.2569745 37.88398441, -122.268078 37.870117)"
119.0,1000016.0,1347.5216473988035,"LINESTRING (-122.27164948 37.88190309, -122.268078 37.870117)"
119.0,1000030.0,1359.8863930715602,"LINESTRING (-122.27164948 37.88190309, -122.283508 37.874032)"
120.0,1000016.0,1513.6063320572973,"LINESTRING (-122.27955946 37.88027356, -122.268078 37.870117)"
120.0,1000030.0,775.7459811495626,"LINESTRING (-122.27955946 37.88027356, -122.283508 37.874032)"
121.0,1000030.0,874.5555894064921,"LINESTRING (-122.29088514 37.87931893, -122.283508 37.874032)"
122.0,1000030.0,1979.830577703017,"LINESTRING (-122.30327618 37.86545888, -122.283508 37.874032)"
123.0,1000030.0,1265.1220843540343,"LINESTRING (-122.29789085 37.87329066, -122.283508 37.874032)"
124.0,1000016.0,1874.146967407751,"LINESTRING (-122.28916224 37.87277508, -122.268078 37.870117)"
124.0,1000030.0,515.5985318530413,"LINESTRING (-122.28916224 37.87277508, -122.283508 37.874032)"
125.0,1000016.0,1072.014167811696,"LINESTRING (-122.2793036 37.8739148, -122.268078 37.870117)"
125.0,1000030.0,369.2635324575606,"LINESTRING (-122.2793036 37.8739148, -122.283508 37.874032)"
126.0,1000016.0,618.8471288572612,"LINESTRING (-122.27109443 37.87514734, -122.268078 37.870117)"
126.0,1000030.0,1096.6047973591078,"LINESTRING (-122.27109443 37.87514734, -122.283508 37.874032)"
127.0,1000016.0,966.6220483401893,"LINESTRING (-122.26177635 37.87724618, -122.268078 37.870117)"
127.0,1000030.0,1940.6076040600333,"LINESTRING (-122.26177635 37.87724618, -122.283508 37.874032)"
128.0,1000016.0,1179.610086351507,"LINESTRING (-122.25548146 37.87381383, -122.268078 37.870117)"
129.0,1000016.0,1552.5971020424222,"LINESTRING (-122.25062011 37.86787424, -122.268078 37.870117)"
130.0,1000006.0,1695.1787091547965,"LINESTRING (-122.26152339 37.86686132, -122.26975 37.853069)"
130.0,1000016.0,679.7764428486228,"LINESTRING (-122.26152339 37.86686132, -122.268078 37.870117)"
131.0,1000006.0,1645.6526764350783,"LINESTRING (-122.27070081 37.86784966, -122.26975 37.853069)"
