runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
7900000,c_69694_b_81100_d_96,805,79,1,t_5664778_b_81100_tn_0,757168,t_5664778_b_81100_tn_0,757068
800000,c_69694_b_81100_d_31,15,8,1,t_5664806_b_81100_tn_0,757277,t_5664986_b_81100_tn_0,757874
8000000,c_69694_b_81100_d_96,806,80,1,t_5664628_b_81100_tn_0,757717,t_5664620_b_81100_tn_0,757277
8100000,c_69694_b_81100_d_96,807,81,1,t_5664827_b_81100_tn_0,757298,t_5664995_b_81100_tn_0,757277
8200000,c_69694_b_81100_d_96,808,82,1,t_5664729_b_81100_tn_0,757277,t_5664729_b_81100_tn_0,757717
8300000,c_69694_b_81100_d_96,809,83,1,t_5664770_b_81100_tn_0,757277,t_5664775_b_81100_tn_0,757277
8400000,c_69694_b_81100_d_96,810,84,1,t_5664942_b_81100_tn_0,757457,t_5664942_b_81100_tn_0,757277
8500000,c_69694_b_81100_d_96,811,85,1,t_5664727_b_81100_tn_0,757277,t_5664730_b_81100_tn_0,757717
8600000,c_69694_b_81100_d_96,812,86,1,t_5664980_b_81100_tn_0,757277,t_5664979_b_81100_tn_0,757277
8700000,c_69694_b_81100_d_96,813,87,1,t_5664886_b_81100_tn_0,757068,t_5664888_b_81100_tn_0,757168
8800000,c_69694_b_81100_d_96,814,88,1,t_5664881_b_81100_tn_0,757068,t_5664881_b_81100_tn_0,757168
8900000,c_69694_b_81100_d_96,815,89,1,t_5664636_b_81100_tn_0,757277,t_5664994_b_81100_tn_0,757277
900000,c_69694_b_81100_d_31,16,9,1,t_5664991_b_81100_tn_0,757298,t_5664988_b_81100_tn_0,757874
9000000,c_69694_b_81100_d_96,816,90,1,t_5664807_b_81100_tn_0,757277,t_5664692_b_81100_tn_0,757277
9100000,c_69694_b_81100_d_96,817,91,1,t_5664694_b_81100_tn_0,757277,t_5664878_b_81100_tn_0,757068
9200000,c_69694_b_81100_d_96,818,92,1,t_5664788_b_81100_tn_0,757068,t_5664625_b_81100_tn_0,757277
9300000,c_69694_b_81100_d_96,819,93,1,t_5664785_b_81100_tn_0,757168,t_5665097_b_81100_tn_0,757068
9400000,c_69694_b_81100_d_96,820,94,1,t_5664787_b_81100_tn_0,757068,t_5664779_b_81100_tn_0,757068
9500000,c_69694_b_81100_d_96,821,95,1,t_5665110_b_81100_tn_0,757277,t_5665033_b_81100_tn_0,757277
9600000,c_69695_b_81101_d_31,18,96,1,t_5665024_b_81101_tn_0,757902,t_5665024_b_81101_tn_0,757882
9700000,c_69695_b_81101_d_31,21,97,1,t_5665023_b_81101_tn_0,757874,t_5665026_b_81101_tn_0,757874
9800000,c_69695_b_81101_d_31,25,98,1,t_5665028_b_81101_tn_0,757937,t_5665030_b_81101_tn_0,757874
