id,name,from_node_id,to_node_id,length,lanes,dir_flag,free_speed,capacity,link_type,link_type_name,geometry,allowed_uses,from_biway,is_link
POINT (-122.4125954 37.783933)_POINT (-122.413879 37.77945),,POINT (-122.4125954 37.783933),POINT (-122.413879 37.77945),511.66399868715473,1,1,-1,-1,-1,,"LINESTRING (-122.4125954 37.783933, -122.413879 37.77945)",auto,1,True
POINT (-122.1969979 37.758918)_POINT (-122.196698 37.753604),,POINT (-122.1969979 37.758918),POINT (-122.196698 37.753604),592.1403483867557,1,1,-1,-1,-1,,"LINESTRING (-122.1969979 37.758918, -122.196698 37.753604)",auto,1,True
POINT (-122.1889463 37.7541581)_POINT (-122.196698 37.753604),,POINT (-122.1889463 37.7541581),POINT (-122.196698 37.753604),685.0449531965409,1,1,-1,-1,-1,,"LINESTRING (-122.1889463 37.7541581, -122.196698 37.753604)",auto,1,True
POINT (-122.2974489 37.8944075)_POINT (-122.298895 37.902633),,POINT (-122.2974489 37.8944075),POINT (-122.298895 37.902633),924.4277731219732,1,1,-1,-1,-1,,"LINESTRING (-122.2974489 37.8944075, -122.298895 37.902633)",auto,1,True
POINT (-122.2782006 37.8802854)_POINT (-122.283508 37.874032),,POINT (-122.2782006 37.8802854),POINT (-122.283508 37.874032),837.8972613917949,1,1,-1,-1,-1,,"LINESTRING (-122.2782006 37.8802854, -122.283508 37.874032)",auto,1,True
POINT (-122.2896362 37.8794472)_POINT (-122.283508 37.874032),,POINT (-122.2896362 37.8794472),POINT (-122.283508 37.874032),808.2962298969915,1,1,-1,-1,-1,,"LINESTRING (-122.2896362 37.8794472, -122.283508 37.874032)",auto,1,True
POINT (-122.4139445 37.751201)_POINT (-122.418518 37.752422),,POINT (-122.4139445 37.751201),POINT (-122.418518 37.752422),424.8736906155171,1,1,-1,-1,-1,,"LINESTRING (-122.4139445 37.751201, -122.418518 37.752422)",auto,1,True
POINT (-122.2192819 37.7777848)_POINT (-122.224067 37.774873),,POINT (-122.2192819 37.7777848),POINT (-122.224067 37.774873),531.3506779604503,1,1,-1,-1,-1,,"LINESTRING (-122.2192819 37.7777848, -122.224067 37.774873)",auto,1,True
POINT (-122.267564 37.852246)_POINT (-122.26975 37.853069),,POINT (-122.267564 37.852246),POINT (-122.26975 37.853069),212.86681299555573,1,1,-1,-1,-1,,"LINESTRING (-122.267564 37.852246, -122.26975 37.853069)",auto,1,True
POINT (-121.8672416 37.3737018)_POINT (-121.874661 37.368495),,POINT (-121.8672416 37.3737018),POINT (-121.874661 37.368495),875.6658580901775,1,1,-1,-1,-1,,"LINESTRING (-121.8672416 37.3737018, -121.874661 37.368495)",auto,1,True
POINT (-122.2746228 37.8503694)_POINT (-122.26975 37.853069),,POINT (-122.2746228 37.8503694),POINT (-122.26975 37.853069),523.2209559025548,1,1,-1,-1,-1,,"LINESTRING (-122.2746228 37.8503694, -122.26975 37.853069)",auto,1,True
POINT (-122.4120842 37.7558368)_POINT (-122.418518 37.752422),,POINT (-122.4120842 37.7558368),POINT (-122.418518 37.752422),682.0256442556381,1,1,-1,-1,-1,,"LINESTRING (-122.4120842 37.7558368, -122.418518 37.752422)",auto,1,True
POINT (-122.0784573 37.6929313)_POINT (-122.075615 37.690776),,POINT (-122.0784573 37.6929313),POINT (-122.075615 37.690776),346.7733059493013,1,1,-1,-1,-1,,"LINESTRING (-122.0784573 37.6929313, -122.075615 37.690776)",auto,1,True
POINT (-122.2771352 37.8668441)_POINT (-122.268078 37.870117),,POINT (-122.2771352 37.8668441),POINT (-122.268078 37.870117),875.354130651927,1,1,-1,-1,-1,,"LINESTRING (-122.2771352 37.8668441, -122.268078 37.870117)",auto,1,True
POINT (-122.2771352 37.8668441)_POINT (-122.283508 37.874032),,POINT (-122.2771352 37.8668441),POINT (-122.283508 37.874032),976.6583067991155,1,1,-1,-1,-1,,"LINESTRING (-122.2771352 37.8668441, -122.283508 37.874032)",auto,1,True
POINT (-122.2863197 37.865807)_POINT (-122.283508 37.874032),,POINT (-122.2863197 37.865807),POINT (-122.283508 37.874032),948.3553971309506,1,1,-1,-1,-1,,"LINESTRING (-122.2863197 37.865807, -122.283508 37.874032)",auto,1,True
POINT (-121.9350969 38.0229463)_POINT (-121.944248 38.01895),,POINT (-121.9350969 38.0229463),POINT (-121.944248 38.01895),917.5698104385615,1,1,-1,-1,-1,,"LINESTRING (-121.9350969 38.0229463, -121.944248 38.01895)",auto,1,True
POINT (-122.4125113 37.7607269)_POINT (-122.419755 37.765176),,POINT (-122.4125113 37.7607269),POINT (-122.419755 37.765176),807.2579855608715,1,1,-1,-1,-1,,"LINESTRING (-122.4125113 37.7607269, -122.419755 37.765176)",auto,1,True
