zone_id,geometry
1244,Point (-122.22480604 38.09472318)
1245,Point (-122.21472166 38.09319208)
1246,Point (-122.20310889 38.09079614)
1247,Point (-122.22567071 38.08224707)
1248,Point (-122.2098692 38.0734663)
1249,Point (-122.2438684 38.08990518)
1250,Point (-122.23821785 38.0766162)
1251,Point (-122.31178278 38.12540953)
1252,Point (-122.25979252 38.10162678)
1253,Point (-122.24967086 38.10105503)
1254,Point (-122.23732339 38.09691981)
1255,Point (-122.23749853 38.1051197)
1256,Point (-122.23683326 38.11437501)
1257,Point (-122.24005427 38.1238485)
1258,Point (-122.25071843 38.11135437)
1259,Point (-122.26204239 38.1086002)
1260,Point (-122.26566342 38.11586643)
1261,Point (-122.26980899 38.12207309)
1262,Point (-122.25759787 38.12811811)
1263,Point (-122.26738016 38.13857766)
1264,Point (-122.27832356 38.14966623)
1265,Point (-122.23837491 38.13573728)
1266,Point (-122.24532113 38.14800714)
1267,Point (-122.22747762 38.14851574)
1268,Point (-122.17420755 38.05977159)
1269,Point (-122.11842626 38.09996105)
1270,Point (-122.19553159 38.10471379)
1271,Point (-122.16779768 38.09286461)
1272,Point (-122.18132454 38.08030274)
1273,Point (-122.16678196 38.07594598)
1274,Point (-122.15512089 38.06887855)
1275,Point (-122.16503128 38.06069837)
1276,Point (-122.16723421 38.25376449)
1277,Point (-122.14600625 38.16471485)
1278,Point (-122.10065978 38.21842688)
1279,Point (-122.06578542 38.26536163)
1280,Point (-122.07946126 38.29597603)
1281,Point (-122.02769734 38.29886953)
1282,Point (-121.97426668 38.29276963)
1283,Point (-122.0593232 38.25335687)
1284,Point (-122.06867381 38.22496571)
1285,Point (-122.04261118 38.25432599)
1286,Point (-122.04586621 38.24694286)
1287,Point (-122.05239182 38.26413201)
1288,Point (-122.04067238 38.26536423)
1289,Point (-122.03058592 38.2653501)
1290,Point (-122.03085267 38.25417189)
1291,Point (-122.02256864 38.26621256)
1292,Point (-122.01104098 38.26697793)
1293,Point (-121.9803371 38.15816406)
1294,Point (-122.02819098 38.24842625)
1295,Point (-122.01412786 38.24876645)
1296,Point (-121.99851381 38.24785043)
1297,Point (-121.98119684 38.25646717)
1298,Point (-122.00139371 38.26021748)
1299,Point (-121.94349402 38.264167)
1300,Point (-121.94654726 38.36552511)
1301,Point (-122.03354153 38.43845329)
1302,Point (-121.93353596 38.40334271)
1303,Point (-121.93471667 38.32267833)
1304,Point (-121.95788139 38.34237682)
1305,Point (-121.92394242 38.34436574)
1306,Point (-121.94509889 38.34004113)
1307,Point (-121.98227595 38.32426643)
1308,Point (-122.00741188 38.35040203)
1309,Point (-121.9680717 38.3539255)
1310,Point (-121.96706276 38.34169667)
1311,Point (-121.98010336 38.34220998)
1312,Point (-122.00223113 38.32977653)
1313,Point (-122.01252629 38.37016366)
1314,Point (-121.98003492 38.38271312)
