id,vehicle_trip_tripId,vehicle_trip_routeId,vehicle_trip_directionId,vehicle_vehicle_id,vehicle_vehicle_label,vehicle_position_latitude,vehicle_position_longitude,vehicle_position_bearing,vehicle_position_odometer,vehicle_position_speed,vehicle_currentStopSequence,vehicle_currentStatus,vehicle_stopId,vehicle_timestamp,header_timestamp
RTVP:T:22560974,22560974,FBUZ,0.0,1669,Mesa Riverview,33.411137,-111.87452,0.0,21484.0,0.44704,17.0,INCOMING_AT,30591,2025-10-04 00:21:29,2025-10-04 00:21:46
RTVP:T:22561959,22561959,FLSH,0.0,6729,Lot 59,33.41718,-111.92902,18.0,3880.0,8.04672,5.0,INCOMING_AT,3414,2025-10-04 00:21:29,2025-10-04 00:21:46
RTVP:T:22561958,22561958,FLSH,0.0,6725,Lot 59,33.42899,-111.926956,308.0,9668.0,4.91744,1.0,IN_TRANSIT_TO,7626,2025-10-04 00:21:36,2025-10-04 00:21:46
RTVP:T:22591977,22591977,GAL,1.0,6883,Peoria PNR,33.45168,-112.07522,180.0,2.0,0.0,2.0,IN_TRANSIT_TO,59,2025-10-04 00:21:17,2025-10-04 00:21:46
RTVP:T:22561130,22561130,JUPI,0.0,1666,Downtown Tempe/ASU,33.39652,-111.904434,132.0,0.0,0.0,2.0,INCOMING_AT,5946,2025-10-04 00:21:33,2025-10-04 00:21:46
RTVP:T:22561127,22561127,JUPI,0.0,1642,Downtown Tempe/ASU,33.392956,-111.92677,89.0,12835.0,6.7056,7.0,INCOMING_AT,5284,2025-10-04 00:21:38,2025-10-04 00:21:46
RTVP:T:22561126,22561126,JUPI,0.0,1631,Downtown Tempe/ASU,33.417694,-111.939606,317.0,28841.0,1.78816,21.0,INCOMING_AT,3456,2025-10-04 00:21:28,2025-10-04 00:21:46
RTVP:T:22561684,22561684,JUPI,1.0,1651,McClintock High School,33.425915,-111.93613,359.0,0.0,4.02336,2.0,INCOMING_AT,5324,2025-10-04 00:21:36,2025-10-04 00:21:46
RTVP:T:22561678,22561678,JUPI,1.0,1654,McClintock High School,33.4072,-111.93497,180.0,9461.0,4.91744,12.0,INCOMING_AT,40230,2025-10-04 00:21:24,2025-10-04 00:21:46
RTVP:T:22561671,22561671,JUPI,1.0,1653,McClintock High School,33.392967,-111.909454,89.0,30453.0,0.0,27.0,IN_TRANSIT_TO,9361,2025-10-04 00:21:32,2025-10-04 00:21:46
RTVP:T:22561294,22561294,MARS,0.0,1658,Downtown Tempe/ASU,33.3923,-111.88325,358.0,5.0,0.0,1.0,STOPPED_AT,40216,2025-10-04 00:21:23,2025-10-04 00:21:46
RTVP:T:22561293,22561293,MARS,0.0,1641,Downtown Tempe/ASU,33.39662,-111.908936,270.0,12087.0,4.91744,11.0,INCOMING_AT,3435,2025-10-04 00:21:22,2025-10-04 00:21:46
RTVP:T:22561292,22561292,MARS,0.0,1605,Downtown Tempe/ASU,33.414444,-111.92042,358.0,25730.0,0.0,19.0,INCOMING_AT,40226,2025-10-04 00:21:26,2025-10-04 00:21:46
RTVP:T:22561675,22561675,MARS,1.0,1659,Southern+Evergreen,33.42196,-111.93185,89.0,2965.0,0.89408,4.0,IN_TRANSIT_TO,9342,2025-10-04 00:21:12,2025-10-04 00:21:46
RTVP:T:22561673,22561673,MARS,1.0,1663,Southern+Evergreen,33.41013,-111.92239,90.0,12471.0,0.44704,11.0,INCOMING_AT,40210,2025-10-04 00:21:39,2025-10-04 00:21:46
RTVP:T:22804361,22804361,MARY,0.0,3019,Clockwise,33.499516,-112.20317,11.0,29011.0,12.51712,19.0,INCOMING_AT,40007,2025-10-04 00:21:08,2025-10-04 00:21:46
RTVP:T:22804360,22804360,MARY,0.0,3011,Clockwise,33.49418,-112.2296,0.0,118296.0,0.0,67.0,INCOMING_AT,40063,2025-10-04 00:21:28,2025-10-04 00:21:46
RTVP:T:22804350,22804350,MARY,1.0,3022,Counterclock,33.473305,-112.185074,81.0,72329.0,0.0,44.0,IN_TRANSIT_TO,40014,2025-10-04 00:21:36,2025-10-04 00:21:46
RTVP:T:22804346,22804346,MARY,1.0,3021,Counterclock,33.4792,-112.22897,353.0,134749.0,0.0,1.0,INCOMING_AT,1990,2025-10-04 00:21:26,2025-10-04 00:21:46
RTVP:T:22561666,22561666,MERC,0.0,1664,Escalante Center,33.417904,-111.92368,136.0,8402.0,13.85824,11.0,INCOMING_AT,40182,2025-10-04 00:21:40,2025-10-04 00:21:46
RTVP:T:22561672,22561672,MERC,0.0,1640,Escalante Center,33.419003,-111.905785,89.0,15133.0,0.0,18.0,IN_TRANSIT_TO,40188,2025-10-04 00:21:38,2025-10-04 00:21:46
RTVP:T:22561062,22561062,MERC,1.0,1607,Downtown Tempe/ASU,33.41848,-111.893654,254.0,32.0,0.0,2.0,IN_TRANSIT_TO,40197,2025-10-04 00:21:41,2025-10-04 00:21:46
RTVP:T:22561064,22561064,MERC,1.0,1606,Downtown Tempe/ASU,33.415825,-111.89418,269.0,1132.0,2.2352,2.0,INCOMING_AT,40197,2025-10-04 00:21:41,2025-10-04 00:21:46
RTVP:T:22561063,22561063,MERC,1.0,1655,Downtown Tempe/ASU,33.42295,-111.93487,15.0,17306.0,0.0,13.0,INCOMING_AT,3327,2025-10-04 00:21:38,2025-10-04 00:21:46
