stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
4-065,882205,MINES RD & DANA SOUTH, Unit SB,37.68175,-121.733878,,,,,,0
2-078,882206,GARAVENTA RANCH RD & PERIWINKLE COM,,37.722656,-121.721407,,,,,,0
2-079,882207,GARAVENTA RANCH RD & MARALISA LN,,37.72231,-121.718637,,,,,,0
2-081,882208,GARAVENTA RANCH RD & SCENIC AVE,,37.7172,-121.717493,,,,,,0
8-233,882210,RUBY HILL DR & BRINDISI PL,,37.632402,-121.804375,,,,,,0
8-234,882211,RUBY HILL DR & DONATA CT,,37.636564,-121.799967,,,,,,0
8-235,882212,RUBY HILL RD & VANTINI WY,,37.642904,-121.803076,,,,,,0
8-241,882214,VINEYARD AVE & EL CAPITAN DR,,37.664985,-121.845387,,,,,,0
8-242,882215,VINYARD AVE & TOURIGA DR,,37.664904,-121.852495,,,,,,0
8-236,882216,BERNAL AVE & KOTTINGER DR,,37.655951,-121.859368,,,,,,0
8-232,882217,BERNAL AVE & INDEPENDENCE ST,,37.652405,-121.86924,,,,,,0
8-228,882218,RUBY HILL DR &  ROMANO CIR,W RUBY HILL DR & PIEMONTE DR,37.640436,-121.81736,,,,,,0
8-218,882219,RUBY HILL DR & ROMANO CIR,W RUBY HILL DR & PIEMONTE DR,37.638263,-121.814784,,,,,,0
8-122,882228,WILLOW RD & GIBRALTAR DR,,37.696158,-121.898373,,,,,,0
4-066,882232,MINES RD & CHARLOTTE WY,,37.686529,-121.737429,,,,,,0
8-044,882233,STANLEY BLVD & STANLEY BLVD,,37.666358,-121.866788,,,,,,0
8-075,882234,LAS POSITAS BLVD & HACIENDA DR,W LAS POSITAS BLVD,37.685407,-121.893712,,,,,,0
8-104,882237,TAWNY DR & NORTON WY,,37.662876,-121.855754,,,,,,0
8-143,882238,MADEIRA DR & SYLVANER DR,,37.660124,-121.84994,,,,,,0
8-144,882239,CRELLIN  RD & CRESTA BLANCA DR,CRELLIN RD & ZINFANDEL CT,37.658494,-121.845052,,,,,,0
8-146,882241,TAWNY DR & TAWNY PARK,TAWNY DR & NORTON WAY,37.663192,-121.854676,,,,,,0
8-161,882242,HANSEN DR & CALLE REYNOSO,,37.66864,-121.902669,,,,,,0
8-162,882244,HANSEN DR & DEL PRADO PARK, Unit WB,37.668416,-121.906889,,,,,,0
8-159,882248,HANSEN DR & VALLEY AVE, Unit WB,37.66967,-121.899392,,,,,,0
8-227,882251,HANSEN DR & VALLEY AVE,,37.668963,-121.901394,,,,,,0
8-169,882253,BERNAL AVE & INDEPENDENCE ST,BERNAL AVE & CORTE VERDE,37.652483,-121.869949,,,,,,0
8-168,882255,BERNAL AVE & PALOMINO DR,,37.660869,-121.857408,,,,,,0
8-170,882256,VINYARD AVE & TOURIGA DR,,37.664736,-121.851818,,,,,,0
8-171,882257,VINEYARD AVE & MONTEVINO DR,,37.664771,-121.846742,,,,,,0
8-200,882273,PLEASANTON AVE & FAIRGROUNDS RD,0 PLEASANTON AVE & FAIRGROUNDS RD,37.658846,-121.882602,,,,,,0
9-001,882274,WALNUT CREEK BART STATION,0 BART ACCESS RD,37.905762,-122.068475,,,,,,0
6-037,882275,GLEASON DR & EMERALD GLEN PARK,GLEASON DR & GOLDEN GATE DR,37.712747,-121.874456,,,,,,0
8-186,882276,PASEO SANTA CRUZ & VALLEY AVE,,37.674429,-121.899283,,,,,,0
8-177,882277,PASEO SANTA CRUZ & VALLEY AVE,,37.666865,-121.898761,,,,,,0
8-180,882278,PASEO SANTA CRUZ & CALLE ALTAMIRA,,37.665296,-121.905335,,,,,,0
8-181,882280,PASEO SANTA CRUZ  & CORTE MERCADO, Unit NB,37.666401,-121.906471,,,,,,0
8-182,882281,PASEO SANTA CRUZ  & HANSEN DR,,37.66873,-121.90716,,,,,,0
8-184,882283,PASEO SANTA CRUZ  & PASEO CATALINA,,37.672317,-121.905907,,,,,,0
8-179,882292,PASEO SANTA CRUZ  & CALLE REYNOSO,,37.665659,-121.90213,,,,,,0
8-187,882293,PASEO SANTA CRUZ  & PASEO SAN LEON,,37.673727,-121.902956,,,,,,0
8-188,882294,PASEO SANTA CRUZ  & CORTE SANTA MARIA,,37.672167,-121.907102,,,,,,0
8-189,882295,PASEO SANTA CRUZ  & CORTE BARCELONA,,37.668752,-121.907322,,,,,,0
8-191,882297,PASEO SANTA CRUZ  & CALLE REYNOSO,,37.66547,-121.902293,,,,,,0
8-192,882298,PASEO SANTA CRUZ & CALLE ALTAMIRA,,37.665155,-121.904966,,,,,,0
7-206,882305,SPRINGDALE AVE & CHESTNUT WY,,37.689007,-121.924625,,,,,,0
7-207,882306,SPRINGDALE AVE & GLENBROOK CT,,37.686758,-121.922345,,,,,,0
7-208,882307,MUIRWOOD PARK, Unit SB,37.684034,-121.918695,,,,,,0
7-209,882308,MUIRWOOD DR & SANDALWOOD DR,,37.679781,-121.916384,,,,,,0
7-210,882309,MUIRWOOD DR & LAS POSITAS BLVD,,37.677315,-121.916487,,,,,,0
7-212,882310,LAS POSITAS BLVD & DMV,,37.680744,-121.90576,,,,,,0
7-215,882311,LAS POSITAS BLVD & DORMAN RD,W LAS POSITAS BLVD & UNNAMED ST,37.680742,-121.906158,,,,,,0
7-216,882312,LAS POSITAS BLVD & MUIRWOOD DR, Unit WB,37.677295,-121.91614,,,,,,0
7-401,882321,MUIRWOOD DR & OAK HILL PARK,0 MUIRWOOD DR,37.674728,-121.914188,,,,,,0
7-405,882326,MUIRWOOD DR & EASTWOOD WY,,37.670338,-121.913985,,,,,,0
7-406,882327,MUIRWOOD DR & FOOTHILL RD,,37.669591,-121.917344,,,,,,0
8-400,882329,GIBRALTER DR & HART MIDDLE SCHOOL,,37.687015,-121.896982,,,,,,0
8-402,882331,STONERIDGE DR & SANTA RITA RD,,37.687927,-121.87445,,,,,,0
8-403,882332,KAMP DR & EILENE DR, Unit SB,37.688171,-121.869693,,,,,,0
8-404,882333,KAMP DR & CAMERON AVE,,37.685214,-121.868277,,,,,,0
8-406,882335,MOHR AVE & KOLLN ST,,37.68199,-121.873251,,,,,,0
7-175,882338,LYLEWOOD DR & REGENCY DR,,37.656767,-121.906475,,,,,,0
7-186,882339,REGENCY DR & TUDOR CT,,37.659593,-121.907267,,,,,,0
7-177,882340,REGENCY DR & LYLEWOOD DR,,37.661712,-121.907566,,,,,,0
5-401,882342,VOMAC RD & HOLLANDA LN,,37.715234,-121.937306,,,,,,0
7-179,882343,JORGENSEN LN & LYLEWOOD DR,0 Unit WB & FOOTHILL RD,37.657782,-121.908587,,,,,,0
5-402,882344,VOMAC RD & DEERVALE RD,,37.717296,-121.938537,,,,,,0
7-187,882345,MUIRWOOD DR & PALM CT,,37.676045,-121.915485,,,,,,0
7-298,882346,MUIRWOOD DR & PECAN CT,,37.674736,-121.91432,,,,,,0
7-299,882347,MUIRWOOD DR & SUNDROP CT,,37.672923,-121.913585,,,,,,0
7-270,882348,MUIRWOOD DR & LEMONWOOD WY,,37.671096,-121.91366,,,,,,0
7-195,882349,MUIRWOOD DR & ARROWWOOD CT,,37.669925,-121.915299,,,,,,0
7-296,882350,MUIRWOOD DR & FOOTHILL RD,,37.669557,-121.918198,,,,,,0
5-403,882351,VOMAC RD & SAN RAMON RD,,37.717153,-121.941011,,,,,,0
5-404,882352,VOMAC RD & PEPPERTREE RD,,37.716006,-121.942321,,,,,,0
5-405,882353,SOUTHWICK DR & SOUTHWICK CT,,37.719888,-121.945502,,,,,,0
5-406,882354,SOUTHWICK DR & WESTSIDE DR,,37.722432,-121.943785,,,,,,0
5-407,882355,ALCOSTA BLVD & SAN RAMON RD,,37.723021,-121.941747,,,,,,0
5-408,882356,AMADOR VALLEY BLVD & VILLAGE PKWY,,37.710421,-121.925782,,,,,,0
5-410,882357,WELLS MIDDLE SCHOOL,YORK DR,37.710532,-121.918722,,,,,,0
5-411,882358,SOUTHWICK DR & WESTSIDE DR WB,,37.722262,-121.944054,,,,,,0
5-412,882359,SOUTHWICK DR & BECKETT WY,,37.718969,-121.94613,,,,,,0
5-413,882360,VOMAC RD & PEPPERTREE RD,,37.716096,-121.942738,,,,,,0
5-414,882361,VOMAC RD & SAN RAMON RD,,37.717066,-121.940805,,,,,,0
5-415,882362,VOMAC RD & COUNTESS ST,,37.717419,-121.938995,,,,,,0
5-416,882363,VOMAC RD & HOLLANDA LN,,37.715006,-121.937367,,,,,,0
6-411,882375,TASSAJARA RD & DUBLIN RANCH DR,,37.714692,-121.871793,,,,,,0
6-412,882376,DUBLIN RANCH DR & CEDAR CREST TER,,37.721088,-121.867919,,,,,,0
6-413,882377,DUBLIN RANCH DR & GROVELAND LN,,37.720149,-121.865446,,,,,,0
6-414,882378,ANTONE WY & DUBLIN RANCH DR,0 ANTONE WAY,37.717988,-121.86491,,,,,,0
6-415,882379,ANOTNE WY & FALLON RD,,37.718503,-121.859496,,,,,,0
7-410,882381,REGENCY DR & MILLEFORD CT,,37.66399,-121.908874,,,,,,0
7-411,882382,REGENCY DR & BELVEDERE CT,,37.66081,-121.911557,,,,,,0
7-412,882383,VALLEY TRAILS DR & CARLSBAD WY,,37.678446,-121.903524,,,,,,0
