name,node_id,physical_node_id,x_coord,y_coord,route_type,route_id,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type
3145,1000079,1000079,-122.39146,37.73225,3,TBUS,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.39146 37.73225),0,,
3146,1000080,1000080,-122.396459,37.720861,3,TBUS,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.396459 37.720861),0,,
3149,1000081,1000081,-122.392593,37.729238,3,TBUS,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.392593 37.729238),0,,
3150,1000082,1000082,-122.392776,37.729166,3,TBUS,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.392776 37.729166),0,,
3153,1000083,1000083,-122.389694,37.772966,3,TBUS,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.389694 37.772966),0,,
3156,1000084,1000084,-122.396602,37.778305,3,TBUS,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.396602 37.778305),0,,
3158,1000085,1000085,-122.401333,37.782081,3,30,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.401333 37.782081),0,,
3160,1000086,1000086,-122.404117,37.784259,3,15,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.404117 37.784259),0,,
3161,1000087,1000087,-122.405675,37.785527,3,15,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.405675 37.785527),0,,
3168,1000088,1000088,-122.40357,37.78031,3,31,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.40357 37.78031),0,,
3173,1000089,1000089,-122.406479,37.7826,3,31,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.406479 37.7826),0,,
3177,1000090,1000090,-122.463918,37.777146,3,44,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.463918 37.777146),0,,
3178,1000091,1000091,-122.46409,37.776985,3,44,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.46409 37.776985),0,,
3180,1000092,1000092,-122.464377,37.783053,3,44,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.464377 37.783053),0,,
3181,1000093,1000093,-122.464526,37.783026,3,44,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.464526 37.783026),0,,
3183,1000094,1000094,-122.463745,37.773809,3,5,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.463745 37.773809),0,,
3184,1000095,1000095,-122.464182,37.780876,3,44,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.464182 37.780876),0,,
3185,1000096,1000096,-122.464354,37.780768,3,44,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.464354 37.780768),0,,
3188,1000097,1000097,-122.463741,37.756597,3,36,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.463741 37.756597),0,,
3189,1000098,1000098,-122.46357,37.756767,3,43,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.46357 37.756767),0,,
3191,1000099,1000099,-122.403367,37.773266,3,19,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.403367 37.773266),0,,
3192,1000100,1000100,-122.407904,37.776864,3,19,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.407904 37.776864),0,,
3193,1000101,1000101,-122.40646,37.77573,3,19,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.40646 37.77573),0,,
3194,1000102,1000102,-122.409222,37.777935,3,19,stop,,,,San Francisco Municipal Transportation Agency,POINT (-122.409222 37.777935),0,,
