trip_id,stop_id,arrival_time,departure_time,stop_sequence,continuous_pickup,continuous_drop_off,start_service_area_radius,end_service_area_radius,departure_buffer
800044-SCH-1909-Blocking-Weekday-30,755009,13:00:00,13:00:00,2,-999,-999,-999.0,-999.0,0
800045-SCH-1909-Blocking-Weekday-30,755009,13:00:00,13:00:00,1,-999,-999,-999.0,-999.0,0
800045-SCH-1909-Blocking-Weekday-30,755000,13:10:00,13:10:00,2,-999,-999,-999.0,-999.0,0
800046-SCH-1909-Blocking-Weekday-30,755000,13:10:00,13:10:00,1,-999,-999,-999.0,-999.0,0
800046-SCH-1909-Blocking-Weekday-30,755009,13:20:00,13:20:00,2,-999,-999,-999.0,-999.0,0
800047-SCH-1909-Blocking-Weekday-30,755009,13:20:00,13:20:00,1,-999,-999,-999.0,-999.0,0
800047-SCH-1909-Blocking-Weekday-30,755000,13:30:00,13:30:00,2,-999,-999,-999.0,-999.0,0
800048-SCH-1909-Blocking-Weekday-30,755000,13:30:00,13:30:00,1,-999,-999,-999.0,-999.0,0
800048-SCH-1909-Blocking-Weekday-30,755009,13:40:00,13:40:00,2,-999,-999,-999.0,-999.0,0
800049-SCH-1909-Blocking-Weekday-30,755009,13:40:00,13:40:00,1,-999,-999,-999.0,-999.0,0
800049-SCH-1909-Blocking-Weekday-30,755000,13:50:00,13:50:00,2,-999,-999,-999.0,-999.0,0
800050-SCH-1909-Blocking-Weekday-30,755000,13:50:00,13:50:00,1,-999,-999,-999.0,-999.0,0
800050-SCH-1909-Blocking-Weekday-30,755009,14:00:00,14:00:00,2,-999,-999,-999.0,-999.0,0
800051-SCH-1909-Blocking-Weekday-30,755009,14:00:00,14:00:00,1,-999,-999,-999.0,-999.0,0
800051-SCH-1909-Blocking-Weekday-30,755000,14:10:00,14:10:00,2,-999,-999,-999.0,-999.0,0
800052-SCH-1909-Blocking-Weekday-30,755000,14:10:00,14:10:00,1,-999,-999,-999.0,-999.0,0
800052-SCH-1909-Blocking-Weekday-30,755009,14:20:00,14:20:00,2,-999,-999,-999.0,-999.0,0
800053-SCH-1909-Blocking-Weekday-30,755009,14:20:00,14:20:00,1,-999,-999,-999.0,-999.0,0
800053-SCH-1909-Blocking-Weekday-30,755000,14:30:00,14:30:00,2,-999,-999,-999.0,-999.0,0
800054-SCH-1909-Blocking-Weekday-30,755000,14:30:00,14:30:00,1,-999,-999,-999.0,-999.0,0
800054-SCH-1909-Blocking-Weekday-30,755009,14:40:00,14:40:00,2,-999,-999,-999.0,-999.0,0
800055-SCH-1909-Blocking-Weekday-30,755009,14:40:00,14:40:00,1,-999,-999,-999.0,-999.0,0
800055-SCH-1909-Blocking-Weekday-30,755000,14:50:00,14:50:00,2,-999,-999,-999.0,-999.0,0
800056-SCH-1909-Blocking-Weekday-30,755000,14:50:00,14:50:00,1,-999,-999,-999.0,-999.0,0
800056-SCH-1909-Blocking-Weekday-30,755009,15:00:00,15:00:00,2,-999,-999,-999.0,-999.0,0
800057-SCH-1909-Blocking-Weekday-30,755009,15:00:00,15:00:00,1,-999,-999,-999.0,-999.0,0
800057-SCH-1909-Blocking-Weekday-30,755000,15:10:00,15:10:00,2,-999,-999,-999.0,-999.0,0
800058-SCH-1909-Blocking-Weekday-30,755000,15:10:00,15:10:00,1,-999,-999,-999.0,-999.0,0
800058-SCH-1909-Blocking-Weekday-30,755009,15:20:00,15:20:00,2,-999,-999,-999.0,-999.0,0
800059-SCH-1909-Blocking-Weekday-30,755009,15:20:00,15:20:00,1,-999,-999,-999.0,-999.0,0
800059-SCH-1909-Blocking-Weekday-30,755000,15:30:00,15:30:00,2,-999,-999,-999.0,-999.0,0
