timetable_id,stop_id,stop_sequence,stop_name,connected_routes
2176,2454869,12,Fairfield Inn - Main Entrance,24/Sebastopol Shuttle
2176,757821,13,Sonoma West Medical Ctr,"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 24/Sebastopol Shuttle, 26/Sebastopol, Cotati, Rohnert Park"
2176,757823,14,Laguna Park Way & Sebastopol Transit Hub,"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 22/Sebastopol, Santa Rosa, 24/Sebastopol Shuttle, 29A/Santa Rosa - Sonoma Coast"
2177,757823,1,Laguna Park Way & Sebastopol Transit Hub,"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 22/Sebastopol, Santa Rosa, 24/Sebastopol Shuttle, 29A/Santa Rosa - Sonoma Coast"
2177,2454868,2,McKinley Street & Brown Street,24/Sebastopol Shuttle
2177,757349,3,Healdsburg Ave & N Main St (Safeway),"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 24/Sebastopol Shuttle, 26/Sebastopol, Cotati, Rohnert Park"
2177,757353,4,Senior Center,24/Sebastopol Shuttle
2177,2454897,5,Burbank Heights - Experimental Farm,24/Sebastopol Shuttle
2177,757359,6,Pleasant Hill Ave & Valentine Ave,24/Sebastopol Shuttle
2177,757361,7,Ragle Park - Ragle Rd & Covert Ln,24/Sebastopol Shuttle
2177,757362,8,Mill Station Rd & Hwy 116,24/Sebastopol Shuttle
2177,757363,9,Lucky's,24/Sebastopol Shuttle
2177,757349,10,Healdsburg Ave & N Main St (Safeway),"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 24/Sebastopol Shuttle, 26/Sebastopol, Cotati, Rohnert Park"
2177,757770,11,Sebastopol Post Office,"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 24/Sebastopol Shuttle, 26/Sebastopol, Cotati, Rohnert Park, 29A/Santa Rosa - Sonoma Coast, 52/West County Connector"
2177,2454869,12,Fairfield Inn - Main Entrance,24/Sebastopol Shuttle
2177,757821,13,Sonoma West Medical Ctr,"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 24/Sebastopol Shuttle, 26/Sebastopol, Cotati, Rohnert Park"
2177,757823,14,Laguna Park Way & Sebastopol Transit Hub,"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 22/Sebastopol, Santa Rosa, 24/Sebastopol Shuttle, 29A/Santa Rosa - Sonoma Coast"
2183,757296,1,Occidental (Bohemian Hwy & Hill St),"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 28/Guerneville, Monte Rio"
2183,757297,2,Camp Meeker (Bohemian Hwy & Van Ness Ave),"28/Guerneville, Monte Rio"
2183,757298,3,Monte Rio (Creekside Park),"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 20X/Russian River Area, Santa Rosa, 28/Guerneville, Monte Rio"
2183,757300,4,Villa Grande,"28/Guerneville, Monte Rio, 29B/Guerneville - Sonoma Coast"
2183,2555755,5,Duncans Mills (Westbound),"28/Guerneville, Monte Rio"
2183,757302,6,Moscow Rd & Casini Ranch,"28/Guerneville, Monte Rio, 29B/Guerneville - Sonoma Coast"
2183,759362,7,Hwy 116 & Bohemian Hwy,"28/Guerneville, Monte Rio"
2183,757313,8,Guerneville Safeway,"20/Russian River Area, Forestville, Sebastopol, Santa Rosa, 20X/Russian River Area, Santa Rosa, 28/Guerneville, Monte Rio, 29B/Guerneville - Sonoma Coast"
